policy,rebalance_interval,band_width,cost_bps,cagr,buy_hold_cagr,advantage,weighted_asset_cagr,bonus_vs_weighted_asset,annual_turnover,max_drawdown,annual_volatility
band 10%,1,0.1,0,0.39063591,0.33259871,0.058037199,0.32806151,0.062574402,0.40350717,-0.84222068,0.42139792
band 10%,1,0.1,5,0.39035536,0.33259871,0.057756646,0.32806151,0.062293849,0.40350717,-0.8423594,0.42138676
band 10%,1,0.1,10,0.39007483,0.33259871,0.057476118,0.32806151,0.062013322,0.40350717,-0.84249801,0.42137566
band 10%,1,0.1,25,0.3892334,0.33259871,0.056634688,0.32806151,0.061171891,0.40350717,-0.84291321,0.42134267
band 10%,1,0.1,50,0.38783152,0.33259871,0.055232813,0.32806151,0.059770016,0.40350717,-0.84360308,0.42128879
band 20%,1,0.2,0,0.39000611,0.33259871,0.057407405,0.32806151,0.061944608,0.19913354,-0.82814694,0.41653465
band 20%,1,0.2,5,0.38986771,0.33259871,0.057268999,0.32806151,0.061806202,0.19913354,-0.82825226,0.41652988
band 20%,1,0.2,10,0.38972929,0.33259871,0.057130579,0.32806151,0.061667782,0.19913354,-0.82835753,0.41652517
band 20%,1,0.2,25,0.38931394,0.33259871,0.056715227,0.32806151,0.06125243,0.19913354,-0.82867309,0.41651133
band 20%,1,0.2,50,0.38862138,0.33259871,0.056022676,0.32806151,0.060559879,0.19913354,-0.82919816,0.41648929
