day,price,fraction,wealth
0,1.0,0.0,100.0
1,1.1,0.0,100.0
2,0.9900000000000001,0.0,100.0
3,1.0890000000000002,0.0,100.0
4,0.9801000000000002,0.0,100.0
5,1.0781100000000003,0.0,100.0
6,0.9702990000000004,0.0,100.0
7,1.0673289000000006,0.0,100.0
8,0.9605960100000005,0.0,100.0
9,1.0566556110000007,0.0,100.0
10,0.9509900499000007,0.0,100.0
11,1.0460890548900008,0.0,100.0
12,0.9414801494010008,0.0,100.0
13,1.035628164341101,0.0,100.0
14,0.9320653479069909,0.0,100.0
15,1.02527188269769,0.0,100.0
16,0.9227446944279211,0.0,100.0
17,1.0150191638707133,0.0,100.0
18,0.913517247483642,0.0,100.0
19,1.0048689722320063,0.0,100.0
20,0.9043820750088057,0.0,100.0
21,0.9948202825096863,0.0,100.0
22,0.8953382542587177,0.0,100.0
23,0.9848720796845896,0.0,100.0
24,0.8863848717161307,0.0,100.0
25,0.9750233588877438,0.0,100.0
26,0.8775210229989695,0.0,100.0
27,0.9652731252988666,0.0,100.0
28,0.8687458127689799,0.0,100.0
29,0.955620394045878,0.0,100.0
30,0.8600583546412902,0.0,100.0
31,0.9460641901054193,0.0,100.0
32,0.8514577710948774,0.0,100.0
33,0.9366035482043652,0.0,100.0
34,0.8429431933839286,0.0,100.0
35,0.9272375127223216,0.0,100.0
36,0.8345137614500895,0.0,100.0
37,0.9179651375950985,0.0,100.0
38,0.8261686238355886,0.0,100.0
39,0.9087854862191476,0.0,100.0
40,0.8179069375972329,0.0,100.0
41,0.8996976313569562,0.0,100.0
42,0.8097278682212606,0.0,100.0
43,0.8907006550433868,0.0,100.0
44,0.8016305895390481,0.0,100.0
45,0.8817936484929529,0.0,100.0
46,0.7936142836436577,0.0,100.0
47,0.8729757120080236,0.0,100.0
48,0.7856781408072212,0.0,100.0
49,0.8642459548879434,0.0,100.0
50,0.7778213593991491,0.0,100.0
51,0.8556034953390641,0.0,100.0
52,0.7700431458051578,0.0,100.0
53,0.8470474603856736,0.0,100.0
54,0.7623427143471062,0.0,100.0
55,0.8385769857818169,0.0,100.0
56,0.7547192872036352,0.0,100.0
57,0.8301912159239988,0.0,100.0
58,0.7471720943315989,0.0,100.0
59,0.8218893037647589,0.0,100.0
60,0.739700373388283,0.0,100.0
61,0.8136704107271113,0.0,100.0
62,0.7323033696544002,0.0,100.0
63,0.8055337066198404,0.0,100.0
64,0.7249803359578564,0.0,100.0
65,0.797478369553642,0.0,100.0
66,0.7177305325982779,0.0,100.0
67,0.7895035858581058,0.0,100.0
68,0.7105532272722952,0.0,100.0
69,0.7816085499995248,0.0,100.0
70,0.7034476949995723,0.0,100.0
71,0.7737924644995295,0.0,100.0
72,0.6964132180495766,0.0,100.0
73,0.7660545398545343,0.0,100.0
74,0.6894490858690809,0.0,100.0
75,0.7583939944559891,0.0,100.0
76,0.6825545950103902,0.0,100.0
77,0.7508100545114292,0.0,100.0
78,0.6757290490602863,0.0,100.0
79,0.743301953966315,0.0,100.0
80,0.6689717585696836,0.0,100.0
81,0.735868934426652,0.0,100.0
82,0.6622820409839868,0.0,100.0
83,0.7285102450823855,0.0,100.0
84,0.6556592205741469,0.0,100.0
85,0.7212251426315617,0.0,100.0
86,0.6491026283684055,0.0,100.0
87,0.7140128912052461,0.0,100.0
88,0.6426116020847216,0.0,100.0
89,0.7068727622931937,0.0,100.0
90,0.6361854860638744,0.0,100.0
91,0.6998040346702619,0.0,100.0
92,0.6298236312032357,0.0,100.0
93,0.6928059943235594,0.0,100.0
94,0.6235253948912035,0.0,100.0
95,0.685877934380324,0.0,100.0
96,0.6172901409422916,0.0,100.0
97,0.6790191550365209,0.0,100.0
98,0.6111172395328688,0.0,100.0
99,0.6722289634861557,0.0,100.0
100,0.6050060671375401,0.0,100.0
0,1.0,0.25,100.0
1,1.1,0.25,102.49999999999999
2,0.9900000000000001,0.25,99.93749999999999
3,1.0890000000000002,0.25,102.43593749999998
4,0.9801000000000002,0.25,99.87503906249997
5,1.0781100000000003,0.25,102.37191503906247
6,0.9702990000000004,0.25,99.8126171630859
7,1.0673289000000006,0.25,102.30793259216304
8,0.9605960100000005,0.25,99.75023427735896
9,1.0566556110000007,0.25,102.24399013429293
10,0.9509900499000007,0.25,99.68789038093561
11,1.0460890548900008,0.25,102.18008764045898
12,0.9414801494010008,0.25,99.62558544944751
13,1.035628164341101,0.25,102.11622508568368
14,0.9320653479069909,0.25,99.56331945854157
15,1.02527188269769,0.25,102.05240244500511
16,0.9227446944279211,0.25,99.50109238387998
17,1.0150191638707133,0.25,101.98861969347696
18,0.913517247483642,0.25,99.43890420114005
19,1.0048689722320063,0.25,101.92487680616853
20,0.9043820750088057,0.25,99.37675488601431
21,0.9948202825096863,0.25,101.86117375816465
22,0.8953382542587177,0.25,99.31464441421053
23,0.9848720796845896,0.25,101.79751052456581
24,0.8863848717161307,0.25,99.25257276145165
25,0.9750233588877438,0.25,101.73388708048793
26,0.8775210229989695,0.25,99.19053990347574
27,0.9652731252988666,0.25,101.67030340106263
28,0.8687458127689799,0.25,99.12854581603605
29,0.955620394045878,0.25,101.60675946143694
30,0.8600583546412902,0.25,99.066590474901
31,0.9460641901054193,0.25,101.54325523677352
32,0.8514577710948774,0.25,99.00467385585418
33,0.9366035482043652,0.25,101.47979070225053
34,0.8429431933839286,0.25,98.94279593469426
35,0.9272375127223216,0.25,101.41636583306162
36,0.8345137614500895,0.25,98.88095668723508
37,0.9179651375950985,0.25,101.35298060441596
38,0.8261686238355886,0.25,98.81915608930555
39,0.9087854862191476,0.25,101.28963499153818
40,0.8179069375972329,0.25,98.75739411674972
41,0.8996976313569562,0.25,101.22632896966846
42,0.8097278682212606,0.25,98.69567074542674
43,0.8907006550433868,0.25,101.1630625140624
44,0.8016305895390481,0.25,98.63398595121083
45,0.8817936484929529,0.25,101.0998355999911
46,0.7936142836436577,0.25,98.57233970999133
47,0.8729757120080236,0.25,101.03664820274109
48,0.7856781408072212,0.25,98.51073199767256
