fraction,log_growth,return_per_period
0.6175,0.055814011,0.057401
0.62,0.055681234,0.057260611
0.6225,0.055545626,0.057117248
0.625,0.055407183,0.056970908
0.6275,0.055265904,0.056821591
0.63,0.055121787,0.056669295
0.6325,0.054974828,0.05651402
0.635,0.054825026,0.056355764
0.6375,0.054672378,0.056194525
0.64,0.054516881,0.056030303
0.6425,0.054358532,0.055863095
0.645,0.054197329,0.0556929
0.6475,0.054033269,0.055519718
0.65,0.05386635,0.055343546
0.6525,0.053696568,0.055164383
0.655,0.053523921,0.054982227
0.6575,0.053348405,0.054797078
0.66,0.053170018,0.054608932
0.6625,0.052988756,0.05441779
0.665,0.052804617,0.054223648
0.6675,0.052617598,0.054026506
0.67,0.052427694,0.053826361
0.6725,0.052234903,0.053623213
0.675,0.052039222,0.053417059
0.6775,0.051840647,0.053207897
0.68,0.051639175,0.052995726
0.6825,0.051434802,0.052780545
0.685,0.051227524,0.05256235
0.6875,0.051017339,0.05234114
0.69,0.050804243,0.052116914
0.6925,0.050588231,0.051889669
0.695,0.050369301,0.051659403
0.6975,0.050147447,0.051426115
0.7,0.049922667,0.051189802
0.7025,0.049694957,0.050950463
0.705,0.049464313,0.050708095
0.7075,0.04923073,0.050462696
0.71,0.048994204,0.050214264
0.7125,0.048754732,0.049962797
0.715,0.048512309,0.049708293
0.7175,0.048266931,0.049450749
0.72,0.048018594,0.049190164
0.7225,0.047767293,0.048926535
0.725,0.047513024,0.048659859
0.7275,0.047255783,0.048390135
0.73,0.046995564,0.04811736
0.7325,0.046732364,0.047841531
0.735,0.046466178,0.047562647
0.7375,0.046197,0.047280705
0.74,0.045924827,0.046995702
0.7425,0.045649653,0.046707636
0.745,0.045371474,0.046416504
0.7475,0.045090284,0.046122304
0.75,0.044806079,0.045825033
0.7525,0.044518854,0.045524689
0.755,0.044228603,0.045221268
0.7575,0.043935322,0.044914769
0.76,0.043639004,0.044605189
0.7625,0.043339645,0.044292524
0.765,0.04303724,0.043976772
0.7675,0.042731783,0.04365793
0.77,0.042423268,0.043335996
0.7725,0.04211169,0.043010966
0.775,0.041797043,0.042682838
0.7775,0.041479322,0.042351608
0.78,0.041158521,0.042017274
0.7825,0.040834634,0.041679833
0.785,0.040507656,0.041339282
0.7875,0.040177579,0.040995617
0.79,0.039844399,0.040648836
0.7925,0.03950811,0.040298935
0.795,0.039168704,0.039945912
0.7975,0.038826177,0.039589763
0.8,0.038480521,0.039230485
0.8025,0.03813173,0.038868074
0.805,0.037779798,0.038502528
0.8075,0.037424719,0.038133843
0.81,0.037066486,0.037762015
0.8125,0.036705092,0.037387042
0.815,0.036340531,0.03700892
0.8175,0.035972796,0.036627645
0.82,0.03560188,0.036243215
0.8225,0.035227776,0.035855625
0.825,0.034850477,0.035464871
0.8275,0.034469977,0.035070952
0.83,0.034086268,0.034673862
0.8325,0.033699342,0.034273598
0.835,0.033309194,0.033870156
0.8375,0.032915815,0.033463533
0.84,0.032519198,0.033053726
0.8425,0.032119336,0.032640729
0.845,0.03171622,0.03222454
0.8475,0.031309845,0.031805154
0.85,0.0309002,0.031382567
0.8525,0.03048728,0.030956776
0.855,0.030071076,0.030527777
0.8575,0.02965158,0.030095566
0.86,0.029228785,0.029660138
0.8625,0.028802681,0.02922149
0.865,0.028373262,0.028779617
0.8675,0.027940518,0.028334515
0.87,0.027504442,0.02788618
0.8725,0.027065024,0.027434609
0.875,0.026622257,0.026979795
0.8775,0.026176132,0.026521736
0.88,0.025726641,0.026060427
0.8825,0.025273774,0.025595863
0.885,0.024817523,0.025128041
0.8875,0.024357878,0.024656955
0.89,0.023894832,0.024182601
0.8925,0.023428374,0.023704975
0.895,0.022958496,0.023224071
0.8975,0.022485189,0.022739886
0.9,0.022008443,0.022252415
0.9025,0.021528248,0.021761653
0.905,0.021044596,0.021267595
0.9075,0.020557476,0.020770236
0.91,0.020066879,0.020269572
0.9125,0.019572795,0.019765598
0.915,0.019075215,0.019258309
0.9175,0.018574127,0.018747699
0.92,0.018069523,0.018233765
0.9225,0.017561392,0.0177165
0.925,0.017049724,0.017195901
0.9275,0.016534509,0.01667196
0.93,0.016015735,0.016144675
0.9325,0.015493394,0.015614038
0.935,0.014967473,0.015080046
0.9375,0.014437962,0.014542693
0.94,0.01390485,0.014001972
0.9425,0.013368127,0.01345788
0.945,0.012827782,0.012910411
0.9475,0.012283802,0.012359558
0.95,0.011736178,0.011805317
0.9525,0.011184897,0.011247682
0.955,0.010629949,0.010686648
0.9575,0.010071322,0.010122208
0.96,0.0095090029,0.0095543571
0.9625,0.0089429816,0.0089830896
0.965,0.0083732457,0.0084083994
0.9675,0.0077997833,0.0078302809
0.97,0.0072225822,0.007248728
0.9725,0.0066416303,0.0066637348
0.975,0.0060569152,0.0060752954
0.9775,0.0054684245,0.0054834036
0.98,0.0048761457,0.0048880535
0.9825,0.0042800662,0.0042892387
0.985,0.003680173,0.0036869532
0.9875,0.0030764535,0.0030811906
0.99,0.0024688945,0.0024719447
0.9925,0.001857483,0.0018592092
0.995,0.0012422056,0.0012429775
0.9975,0.00062304915,0.00062324328
1,0,0
